Publication_ID,First_Author,Year,Full_Citation,PMID,PMCID,DOI,Disease,Publication_Type,Patients_Contributed,Retained_Patients,Excluded_Patients,Status,Exclusion_Reason,Patient_IDs,Source_Field_As_Recorded,Evidence_File,Evidence_Location,Included_In_Final_385,Notes
PUB_KBG_LIT_VANDONGEN_2019,Van Dongen,2019,"van Dongen L, et al. Behavioral phenotype in KBG syndrome: an overview of 7 cases. Eur J Hum Genet. 2019;27(4):540-547.",30612683,PMC6460627,10.1038/s41431-018-0326-7,KBG Syndrome,familial/small series,7,7,0,INCLUDED,None,KBG_Lit_VanDongen2019_P1; KBG_Lit_VanDongen2019_P12; KBG_Lit_VanDongen2019_P13; KBG_Lit_VanDongen2019_P3; KBG_Lit_VanDongen2019_P4; ... (+2 more),Literature cohort (VanDongen2019_P4); Literature cohort (VanDongen2019_P8); Literature cohort (VanDongen2019_P13),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_VANDONGEN_2019,YES,Contributes 7 verified individual patient profiles
PUB_KBG_LIT_WILLEMSEN_2010,Willemsen,2010,"Willemsen MH, et al. 16q24.3 microdeletions including ANKRD11 cause KBG syndrome. Hum Mutat. 2010;31(12):E1883-E1894.",20972986,N/A,10.1002/humu.21382,KBG Syndrome,familial/small series,4,4,0,INCLUDED,None,KBG_Lit_Willemsen2010_P1; KBG_Lit_Willemsen2010_P2; KBG_Lit_Willemsen2010_P3; KBG_Lit_Willemsen2010_P4,Literature cohort (Willemsen2010_P3); Literature cohort (Willemsen2010_P4); Literature cohort (Willemsen2010_P2),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_WILLEMSEN_2010,YES,Contributes 4 verified individual patient profiles
PUB_KBG_LIT_KIM_2015,Kim,2015,"Kim HJ, et al. KBG syndrome caused by ANKRD11 mutation: first case series in Korea. J Genet Med. 2015;12(2):97-101.",26925345,N/A,10.5734/JGM.2015.12.2.97,KBG Syndrome,familial/small series,3,3,0,INCLUDED,None,"KBG_Lit_Kim, 2015_P1; KBG_Lit_Kim, 2015_P2; KBG_Lit_Kim, 2015_P3",Literature cohort (Kim_2015_P1); Literature cohort (Kim_2015_P3); Literature cohort (Kim_2015_P2),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_KIM_2015,YES,Contributes 3 verified individual patient profiles
PUB_KBG_LIT_CRIPPA_2015,Crippa,2015,"Crippa M, et al. ANKRD11 gene deletions in KBG syndrome: report of 3 patients. Mol Cytogenet. 2015;8:80.",26487878,PMC4612442,10.1186/s13039-015-0183-5,KBG Syndrome,familial/small series,3,3,0,INCLUDED,None,KBG_Lit_Crippa2015_P1; KBG_Lit_Crippa2015_P2; KBG_Lit_Crippa2015_P3,Literature cohort (Crippa2015_P3); Literature cohort (Crippa2015_P2); Literature cohort (Crippa2015_P1),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_CRIPPA_2015,YES,Contributes 3 verified individual patient profiles
PUB_KBG_LIT_MIYATAKE_2017,Miyatake,2017,"Miyatake S, et al. De novo ANKRD11 mutations in 3 Japanese patients with KBG syndrome. Brain Dev. 2017;39(3):234-239.",27814987,N/A,10.1016/j.braindev.2016.10.009,KBG Syndrome,familial/small series,3,3,0,INCLUDED,None,"KBG_Lit_Miyatake, 2017_P1; KBG_Lit_Miyatake, 2017_P2; KBG_Lit_Miyatake, 2017_P3",Literature cohort (Miyatake_2017_P2); Literature cohort (Miyatake_2017_P3); Literature cohort (Miyatake_2017_P1),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_MIYATAKE_2017,YES,Contributes 3 verified individual patient profiles
PUB_KBG_LIT_SACHAROW_2012,Sacharow,2012,"Sacharow SJ, et al. 16q24.3 microdeletion syndrome in 2 siblings. Am J Med Genet A. 2012;158A(3):643-649.",22315206,N/A,10.1002/ajmg.a.35198,KBG Syndrome,familial/small series,2,2,0,INCLUDED,None,"KBG_Lit_Sacharow, 2012_P1; KBG_Lit_Sacharow, 2012_P2",Literature cohort (Sacharow_2012_P2); Literature cohort (Sacharow_2012_P1),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_SACHAROW_2012,YES,Contributes 2 verified individual patient profiles
PUB_KBG_LIT_PARENTI_2016,Parenti,2016,"Parenti I, et al. Novel truncating ANKRD11 mutations in KBG syndrome. Clin Genet. 2016;89(5):619-624.",26607629,N/A,10.1111/cge.12711,KBG Syndrome,familial/small series,2,2,0,INCLUDED,None,KBG_Lit_Parenti2016_P1; KBG_Lit_Parenti2016_P2,Literature cohort (Parenti2016_P2); Literature cohort (Parenti2016_P1),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_PARENTI_2016,YES,Contributes 2 verified individual patient profiles
PUB_KBG_LIT_ISRIE_2012,Isrie,2012,"Isrie M, et al. 16q24.3 microdeletion in patients with KBG syndrome. Eur J Med Genet. 2012;55(11):629-633.",22960098,N/A,10.1016/j.ejmg.2012.08.006,KBG Syndrome,familial/small series,2,2,0,INCLUDED,None,"KBG_Lit_Isrie, 2012_P1; KBG_Lit_Isrie, 2012_P2",Literature cohort (Isrie_2012_P1); Literature cohort (Isrie_2012_P2),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_ISRIE_2012,YES,Contributes 2 verified individual patient profiles
PUB_KBG_LIT_SAYED_2020,Sayed,2020,"Sayed IS, et al. KBG syndrome in two Middle Eastern families. J Pediatr Genet. 2020;9(3):190-195.",32714578,PMC7377833,10.1055/s-0040-1701659,KBG Syndrome,familial/small series,2,2,0,INCLUDED,None,"KBG_Lit_Sayed, 2020_P1; KBG_Lit_Sayed, 2020_P2",Literature cohort (Sayed_2020_P2); Literature cohort (Sayed_2020_P1),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_SAYED_2020,YES,Contributes 2 verified individual patient profiles
PUB_KBG_LIT_KHALIFA_2013,Khalifa,2013,"Khalifa M, et al. Submicroscopic 16q24.3 deletion in two cases with KBG syndrome. Mol Syndromol. 2013;4(4):195-201.",23801934,PMC3678248,10.1159/000350482,KBG Syndrome,familial/small series,2,2,0,INCLUDED,None,"KBG_Lit_Khalifa, 2013_P1A; KBG_Lit_Khalifa, 2013_P1B",Literature cohort (Khalifa_2013_P1B); Literature cohort (Khalifa_2013_P1A),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_KHALIFA_2013,YES,Contributes 2 verified individual patient profiles
PUB_KBG_LIT_KIM_2020,Kim,2020,"Kim AR, et al. ANKRD11 pathogenic variants identified by exome sequencing in Korean patients with KBG syndrome. Front Pediatr. 2020;8:578.",33102409,PMC7550570,10.3389/fped.2020.00578,KBG Syndrome,familial/small series,2,2,0,INCLUDED,None,"KBG_Lit_Jin Kim, 2020_P1; KBG_Lit_Jin Kim, 2020_P2",Literature cohort (Jin_Kim_2020_P1); Literature cohort (Jin_Kim_2020_P2),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_KIM_2020,YES,Contributes 2 verified individual patient profiles
PUB_KBG_LIT_ALVES_2019,Alves,2019,"Alves C, et al. KBG syndrome presenting with precocious puberty: a case report. Arch Endocrinol Metab. 2019;63(4):428-433.",31483017,PMC10118833,10.20945/2359-3997000000155,KBG Syndrome,case report,1,1,0,INCLUDED,None,"KBG_Lit_Alves, 2019",Literature cohort (Alves_2019),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_ALVES_2019,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_BUCERZAN_2020,Bucerzan,2020,"Bucerzan S, et al. Clinical and genetic features of KBG syndrome in a Romanian child. Clujul Med. 2020;93(2):220-224.",32476987,PMC7247732,10.15386/mpr-1398,KBG Syndrome,case report,1,1,0,INCLUDED,None,KBG_Lit_Bucerzan2020,Literature cohort (Bucerzan2020),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_BUCERZAN_2020,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_BIANCHI_2018,Bianchi,2018,"Bianchi M, et al. Novel ANKRD11 variant associated with mild KBG phenotype. Clin Dysmorphol. 2018;27(3):95-97.",29697489,N/A,10.1097/MCD.0000000000000224,KBG Syndrome,case report,1,1,0,INCLUDED,None,"KBG_Lit_Bianchi, 2018",Literature cohort (Bianchi_2018),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_BIANCHI_2018,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_BEHNERT_2018,Behnert,2018,"Behnert A, et al. KBG syndrome in a patient with a novel ANKRD11 frameshift variant. Mol Case Stud. 2018;4(5):a003111.",30171048,PMC6169824,10.1101/mcs.a003111,KBG Syndrome,case report,1,1,0,INCLUDED,None,"KBG_Lit_Behnert, 2018",Literature cohort (Behnert_2018),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_BEHNERT_2018,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_LIM_2014,Lim,2014,"Lim JH, et al. KBG syndrome with macrodontia and hearing impairment. Ann Pediatr Endocrinol Metab. 2014;19(4):225-228.",25654070,PMC4316418,10.6065/apem.2014.19.4.225,KBG Syndrome,case report,1,1,0,INCLUDED,None,KBG_Lit_Lim2014,Literature cohort (Lim2014),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_LIM_2014,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_KLEYNER_2016,Kleyner,2016,"Kleyner R, et al. De novo ANKRD11 mutation in an autistic male with KBG syndrome. Case Rep Genet. 2016;2016:4795368.",27843657,PMC5100067,10.1155/2016/4795368,KBG Syndrome,case report,1,1,0,INCLUDED,None,"KBG_Lit_Kleyner, 2016",Literature cohort (Kleyner_2016),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_KLEYNER_2016,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_CUCCO_2020,Cucco,2020,"Cucco F, et al. Familial KBG syndrome due to a novel ANKRD11 splice-site mutation. Clin Case Rep. 2020;8(7):1260-1265.",32695360,PMC7364132,10.1002/ccr3.2882,KBG Syndrome,case report,1,1,0,INCLUDED,None,"KBG_Lit_Cucco, 2020 (Patient B)",Literature cohort (Cucco_2020_Patient_B),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_CUCCO_2020,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_DEBERNARDI_2018,DeBernardi,2018,"DeBernardi S, et al. KBG syndrome: expanding the neurodevelopmental phenotype. Neuropediatrics. 2018;49(4):287-290.",29801198,N/A,10.1055/s-0038-1655755,KBG Syndrome,case report,1,1,0,INCLUDED,None,KBG_Lit_DeBernardi2018,Literature cohort (DeBernardi2018),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_DEBERNARDI_2018,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_LIBIANTO_2019,Libianto,2019,"Libianto R, et al. KBG syndrome presenting in adulthood. Eur J Med Genet. 2019;62(8):103681.",31128329,N/A,10.1016/j.ejmg.2019.103681,KBG Syndrome,case report,1,1,0,INCLUDED,None,KBG_Lit_Libianto2019,Literature cohort (Libianto2019),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_LIBIANTO_2019,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_MIYATAKE_2013,Miyatake,2013,"Miyatake S, et al. ANKRD11 deletion in a Japanese patient with KBG syndrome. Am J Med Genet A. 2013;161A(5):1157-1161.",23533156,N/A,10.1002/ajmg.a.35882,KBG Syndrome,case report,1,1,0,INCLUDED,None,"KBG_Lit_Miyatake, 2013",Literature cohort (Miyatake_2013),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_MIYATAKE_2013,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_MATTEI_2021,Mattei,2021,"Mattei M, et al. Atypical facial features in a KBG syndrome patient. Int J Mol Sci. 2021;22(5):2520.",33802340,PMC7957790,10.3390/ijms22052520,KBG Syndrome,case report,1,1,0,INCLUDED,None,KBG_Lit_Mattei2021,Literature cohort (Mattei2021),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_MATTEI_2021,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_PALUMBO_2016,Palumbo,2016,"Palumbo P, et al. 16q24.3 microdeletion encompassing ANKRD11: case report. Mol Cytogenet. 2016;9:25.",27006698,PMC4802875,10.1186/s13039-016-0236-4,KBG Syndrome,case report,1,1,0,INCLUDED,None,KBG_Lit_Palumbo 2016,Literature cohort (Palumbo_2016),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_PALUMBO_2016,YES,Contributes 1 verified individual patient profiles
PUB_KBG_LIT_RENTAS_2021,Rentas,2021,"Rentas S, et al. Diagnostic utility of exome sequencing in KBG syndrome. J Clin Med. 2021;10(12):2640.",34203875,PMC8234382,10.3390/jcm10122640,KBG Syndrome,case report,1,1,0,INCLUDED,None,KBG_Lit_Rentas2021_P1,Literature cohort (Rentas2021_P1),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_RENTAS_2021,YES,Contributes 1 verified individual patient profiles
